player,display_name,photo,flag,club_logo,club,theme_color
ROUX Marie-Thérèse,ROUX Marie-Thérèse,assets/players/roux-marie-therese.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
ROUX Pierre-Damien,ROUX Pierre-Damien,assets/players/roux-pierre-damien.png,assets/flags/fr.png,assets/clubs/fontenay-sous-bois.png,Fontenay-sous-Bois,#111827
RULLIÈRE Martine,RULLIÈRE Martine,assets/players/rulliere-martine.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
RUMEAU Christophe,RUMEAU Christophe,assets/players/rumeau-christophe.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
SAADA Gilbert,SAADA Gilbert,assets/players/saada-gilbert.png,assets/flags/fr.png,assets/clubs/fontenay-sous-bois.png,Fontenay-sous-Bois,#111827
SALIOU Frédéric,SALIOU Frédéric,assets/players/saliou-frederic.png,assets/flags/fr.png,assets/clubs/brest.png,Brest,#2563EB
SANDRINI Pierre,SANDRINI Pierre,assets/players/sandrini-pierre.png,assets/flags/fr.png,assets/clubs/toulouse.png,Toulouse,#EA580C
SANTI Gérard,SANTI Gérard,assets/players/santi-gerard.png,assets/flags/fr.png,assets/clubs/default.png,,#1D4ED8
SANTRAN Céline,SANTRAN Céline,assets/players/santran-celine.png,assets/flags/fr.png,assets/clubs/bouliac.png,Bouliac,#EA580C
SARROT Vincent,SARROT Vincent,assets/players/sarrot-vincent.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
SAUL Laurent,SAUL Laurent,assets/players/saul-laurent.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
SAUNAL Christiane,SAUNAL Christiane,assets/players/saunal-christiane.png,assets/flags/fr.png,assets/clubs/default.png,,#DB2777
SAURA Josiane,SAURA Josiane,assets/players/saura-josiane.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
SAUTY Christophe,SAUTY Christophe,assets/players/sauty-christophe.png,assets/flags/fr.png,assets/clubs/strasbourg.png,Strasbourg,#7C3AED
SCHAFTER Olivier,SCHAFTER Olivier,assets/players/schafter-olivier.png,assets/flags/fr.png,assets/clubs/durtol.png,Durtol,#1D4ED8
SCHEHER Charles,SCHEHER Charles,assets/players/scheher-charles.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
